token_name,current_price,price_ma_5,price_ma_20,volume_ma_5,price_volatility,recent_trades,buy_pressure,last_trade,erg_liquidity,token_liquidity,rsi_14,market_impact,liquidity_imbalance,price_momentum_5,bb_position_5,volume_imbalance_5,trade_sign_imbalance_5,price_momentum_20,bb_position_20,volume_imbalance_20,trade_sign_imbalance_20,price_momentum_50,bb_position_50,volume_imbalance_50,trade_sign_imbalance_50
rsDIS,4800.659525059534,1914.466396372598,3124.3800843935196,66.4562989316,0.0,17,0.5882352941176471,2025-01-14 20:10:27,9189.510460312,4304779459398137,48.230620338272296,0.00011411956706754788,4.446727987662498e-16,-0.05315143796267707,0.7752413910884015,-0.6644522584179497,-0.19999999999999996,,,-0.263500850200689,0.17647058823529416,,,-0.263500850200689,0.17647058823529416
Mew Fund #36 ERG/FAKU LP,71511406.91372043,14302281.382744094,14302281.382744094,28.7534317944,0.0,5,0.2,2025-01-15 16:49:07,312.72720764,9223372014491213209,,119262262611858.67,4.74133475166834e-25,,0.947213595499958,-0.3634251243997658,-0.6,,,-0.3634251243997658,-0.6,,,-0.3634251243997658,-0.6
SPF,166.04208547299683,99.62242281700762,83.0098430204267,1.7173478387999999,13405.412401635798,20,0.5,2025-01-16 09:16:46,54815.258140882,9073761131072,55.5563034603569,13481.333340101004,3.638278517020423e-11,0.00023135976325283636,0.6825982510932508,0.4177067816973224,0.19999999999999996,27396.140032705334,0.7437534039592495,0.033251155338979405,0.0,,,-0.09875988152441897,-0.16666666666666663
Paideia,519.5185873594686,413.8820928294156,430.7111930866354,104.19819734799998,0.0,6,0.8333333333333334,2025-01-16 07:52:41,40886.420491589,213253122692,,938.8380515207807,3.690477833146977e-10,0.009054738993758527,0.6141414983036038,0.6266104335791872,0.6000000000000001,,,0.6273234940727461,0.6666666666666667,,,0.6273234940727461,0.6666666666666667
PEPERG,0.0009845349253919434,772.5451365368924,695.1095879583909,245.4102411636,0.0,11,0.7272727272727273,2025-01-15 06:17:50,19352.837590905,19598938,,0.003999996070391115,1.0029539337173745,-0.9999989602425816,0.05332095395696171,0.5925190427023128,0.6000000000000001,,,0.5601940765287955,0.4545454545454546,,,0.5601940765287955,0.4545454545454546
FAKU,51477.311506130245,25664.046924021233,24206.991849690683,24.161253701,1512935974.8235,20,0.4,2025-01-16 09:05:10,338.200209525,1775179189,55.32768643865786,175579185.39799055,3.700972153374258e-12,4049927160.0590925,0.6779331360386108,-0.5065443395635325,-0.19999999999999996,3434131239.406783,0.7200620743180903,-0.12214431222190181,-0.19999999999999996,,,-0.2880932030172464,-0.42105263157894735
Satoshi,2.28987889030667e-06,224252.37394653488,224252.37394653488,2.1235392427499997,0.0,4,0.5,2025-01-14 10:41:23,242.687193946,105729729960037,,0.33333333333164034,1.0023911501107915e-06,,,-0.4127358419404467,0.0,,,-0.4127358419404467,0.0,,,-0.4127358419404467,0.0
🚬,5.975782900763341e-08,9851035.660429757,11860966.929434123,1.8838691451999998,0.0,8,0.75,2025-01-14 11:58:26,102.612898396,1717760900,,0.9999999999999964,0.9996418522824853,-0.9999999999999962,0.22624235779006457,0.3630130823801975,0.19999999999999996,,,0.5604285468077348,0.5,,,0.5604285468077348,0.5
AuctionCoin,5.85312357822141,3.75615888408948,3.646959989897423,14.376720981199998,16.219599165250735,20,0.6,2025-01-14 07:17:36,460.004350774,2709,50.278337042769266,7.227691265477756,0.029011169784110936,33.72853323078037,0.659174090127572,0.02620353985395049,0.19999999999999996,-0.0797335446264118,0.6880042811122957,-0.07836054250019042,0.19999999999999996,0.17547091483098232,0.7121112595382013,0.035526236266080806,0.15999999999999992
rsETH,1797.2035512742175,747.6196286398377,933.0763790998648,7.5803395874,0.0,6,0.5,2025-01-16 09:58:44,319.109445345,179090051,,6502098.360159592,9.914502597291954e-10,-0.033948577514534395,0.756001237986871,-0.050556294237399164,0.19999999999999996,,,-0.23765124162694806,0.0,,,-0.23765124162694806,0.0
