token_name,current_price,price_ma_5,price_ma_20,volume_ma_5,price_volatility,recent_trades,buy_pressure,last_trade,erg_liquidity,token_liquidity,rsi_14,market_impact,liquidity_imbalance,price_momentum_5,bb_position_5,volume_imbalance_5,trade_sign_imbalance_5,price_momentum_20,bb_position_20,volume_imbalance_20,trade_sign_imbalance_20,price_momentum_50,bb_position_50,volume_imbalance_50,trade_sign_imbalance_50
EXLE,0.0006672088895389579,305.5873510718838,767.8254058691758,35.9383154984,713644.8809907943,20,0.5,2025-01-11 07:40:10,15140.863687278,227009904308,50.00000016785548,0.00014094178036719307,9.996409071158689e-05,-0.9999995583049438,0.3881966029733189,-0.5582255101103212,-0.6,-0.9999995635778478,0.2563701825406937,-0.16004402151805927,0.0,-0.9999994761440264,0.1410899816099261,0.5597459254343632,0.3600000000000001
🤡,6249240.513454636,2582943.8239378035,3420847.9507163228,0.7103086516,17920427233847.15,20,0.55,2025-01-19 22:59:03,38.294564561,241801016310,50.28416840023296,75792617721843.42,2.5342635318286368e-17,-0.02236548796099136,0.75892644285606,-0.12627095023827528,-0.19999999999999996,41112038183964.2,0.722346734066722,-0.03553141645102906,0.10000000000000009,-0.055498438560622976,0.7390701480622016,-0.026119398201306435,0.0
ogre,9403697839.29705,3759663073.401332,3409383449.6984386,0.26654808300000005,4.427367084896415e+19,20,0.4,2025-01-19 19:26:18,241.172112693,2261975645008,46.4588363290074,0.008263585162529537,1.1338105597534908e-20,0.33129180959152915,0.7740817013998486,-0.6507340628669988,-0.19999999999999996,7.057917249820613e+19,0.8295557687892356,0.15167482645794295,-0.19999999999999996,,,-0.035241800736304583,-0.1428571428571429
EGIO,74714.05356479458,74448.87733989951,68111.46877120985,7.3724843678,1171107484.9467845,20,0.95,2025-01-19 18:40:29,4570.835130925,3402295982835,51.57589173294159,0.0012001663720789277,1.798130322897297e-14,0.0166023391365413,0.7269166527946597,1.0,1.0,0.09419230593291839,0.6019534104734906,0.985791886333041,0.8999999999999999,,,0.9963649200516936,0.9428571428571428
GIF,24882146.867108334,14927274.12386858,13120303.404941846,1.8293211886000003,204950010148764.47,20,0.55,2025-01-18 23:18:08,199.544026497,4862271949339727,60.09933281912116,131588028939314.53,1.6493454878611611e-21,0.009978767297211588,0.6826328683021105,0.30230030879553765,0.19999999999999996,-0.020992734283472148,0.7405018159684397,0.06192588282666329,0.10000000000000009,366951406594069.7,0.8249210382053553,0.1554259549786931,0.040000000000000036
WALRUS,140.99896110921543,113.335007208599,134.45353445715773,35.3074347636,6164.828631677649,20,0.95,2025-01-02 23:37:16,12221.932885007,1730023,49.94894056179837,233.87883526438725,5.0103966096631484e-05,-0.0056076251366395935,0.6091652342636197,0.03703001286708862,0.6000000000000001,20273.240617894087,0.5517069438081174,0.17816878004000777,0.8999999999999999,,,-0.4133640774457356,0.5625
NETA,141822.03177165968,111305.16127107342,77425.44413544078,0.8861132030000001,6328423546.424485,20,0.7,2024-12-30 08:50:04,159.880638566,23083898614235,53.69682983779434,5540248246.507471,4.8836329256170933e-17,19960746116.469406,0.6225744368498708,0.9548590407359049,0.6000000000000001,0.5635375049832341,0.7900617331654554,0.5518102511723728,0.3999999999999999,,,0.5417837915944222,0.44999999999999996
PLFfundASA,0.24154815654797832,2.0480083910338167,2.6189026287015063,0.1096288124,8.919198609703079,20,0.45,2025-01-05 12:35:08,0.906624152,23500832,47.0839245154025,8.36559706086064,1.597130189742106e-07,-0.952562671548146,0.31862249365111156,0.27026483048903294,0.19999999999999996,-0.9479017341645806,0.2376113325640481,0.026667694741540376,-0.09999999999999998,1.5925844171963854,0.2554895657056789,0.0683088824159659,-0.040000000000000036
👽,8006.058154148371,3203.4525664761254,4230.822405804531,0.09091141579999999,0.0,9,0.6666666666666666,2024-12-18 01:51:30,67.498689846,532527,,1699772788.0076363,1.5831970454268418e-08,0.2368098152940219,0.773714608425351,-0.3199662434472834,-0.19999999999999996,,,0.9647461015680339,0.33333333333333326,,,0.9647461015680339,0.33333333333333326
🐶,6.816236741822435e-12,89927430892.09055,99035120461.37149,0.2398555762,8.759491587668809e+21,20,0.7,2025-01-19 11:41:21,123.27997834,18255937202819,44.80408848263991,10.0,0.9907036208582859,-8.716692156518491e-05,0.22614002683641737,-0.0006021281734954016,0.19999999999999996,-1.0,0.12943144432095477,0.6793403969699408,0.3999999999999999,0.28804328425061954,0.18138844426172723,-0.14771922949091612,0.28
